open,high,low,close,volume,vwap,timestamp,transactions,otc
125.41,125.4492,125.01,125.12,115708,125.2086,1738185840000,1084,
125.06,125.6,124.99,125.5,266618,125.3056,1738185900000,1867,
125.5,125.69,123.7,125.69,192768,125.474,1738185960000,1439,
125.69,126.07,125.52,125.97,521994,125.9021,1738186020000,3889,
125.97,126.09,125.8,126.01,239330,125.9803,1738186080000,1876,
126,126.13,126,126.05,222038,126.0499,1738186140000,1643,
126.03,126.0491,125.52,125.5203,153599,125.902,1738186200000,1821,
125.5202,125.71,123.7,125.67,977897,123.9893,1738186260000,1370,
125.66,125.96,125.57,125.91,117291,125.7336,1738186320000,1320,
125.9242,126.08,125.883,125.9001,242993,125.9958,1738186380000,1889,
125.92,125.98,125.735,125.7699,86603,125.8342,1738186440000,900,
125.75,126.07,125.75,126,219882,125.9755,1738186500000,1657,
126,126.15,125.8222,125.99,180302,126.0257,1738186560000,1540,
125.98,126,125.55,125.75,103750,125.8576,1738186620000,1147,
125.79,125.88,125.75,125.75,58822,125.7836,1738186680000,698,
125.76,125.85,123.7,125.7507,97331,125.442,1738186740000,716,
125.76,126.1,125.7,126,348492,125.8681,1738186800000,3064,
126,126.19,125.75,125.87,280850,125.9643,1738186860000,2115,
125.935,125.95,125.75,125.82,87878,125.8258,1738186920000,823,
125.8,125.87,125.75,125.76,104416,125.7829,1738186980000,754,
125.76,125.84,125.75,125.75,70219,125.7736,1738187040000,563,
125.76,125.8,125.75,125.75,89196,125.7632,1738187100000,617,
125.78,125.79,125.75,125.77,98987,125.7637,1738187160000,549,
125.77,125.91,125.75,125.89,78701,125.8236,1738187220000,862,
125.88,125.9,125.76,125.78,110999,125.8199,1738187280000,811,
125.76,126.15,125.76,125.91,223784,125.9843,1738187340000,1664,
126,126.38,125.9,126.3393,206004,126.1597,1738187400000,1924,
126.33,126.44,126.24,126.341,175378,126.3652,1738187460000,1337,
126.35,126.5,125.9912,126.04,275440,126.3143,1738187520000,2201,
126.03,126.1,125.99,126.09,67997,126.036,1738187580000,692,
126.06,126.23,126,126.06,68826,126.0931,1738187640000,976,
126.06,126.08,125.99,126.0394,70239,126.0144,1738187700000,669,
126.0393,126.1,125.99,126,56105,126.0158,1738187760000,632,
126,126.07,125.99,126.0101,56872,126.0196,1738187820000,547,
126.0105,126.07,125.99,126.01,92492,126.0088,1738187880000,623,
126.0195,126.05,126,126,39278,126.0175,1738187940000,446,
126.0003,126.05,125.99,126,74751,126.0064,1738188000000,473,
126,126.01,125.74,125.76,164415,125.7912,1738188060000,1113,
125.7401,125.85,125.74,125.75,84783,125.7617,1738188120000,563,
125.75,125.82,125.74,125.8,105695,125.7619,1738188180000,597,
125.82,125.82,125.74,125.8,1166831.0,123.7581,1738188240000,361,
125.79,125.84,125.74,125.79,52820,125.7617,1738188300000,427,
125.7906,125.83,125.75,125.75,33762,125.7701,1738188360000,347,
125.75,126.49,125.75,126.41,312803,126.2057,1738188420000,2449,
126.41,126.7,125.54,125.7501,406759,126.1233,1738188480000,2814,
125.88,126.23,125.77,126.0303,110262,126.0863,1738188540000,840,
126.16,126.45,126.05,126.35,130303,126.267,1738188600000,1051,
126.28,126.68,126.22,126.51,203203,126.4527,1738188660000,1335,
126.55,126.74,126.45,126.7,97264,126.5982,1738188720000,1001,
126.71,127.11,126.7,127.02,373243,126.9243,1738188780000,2736,
127.0117,127.3,126.9,127.21,267722,127.053,1738188840000,2423,
127.24,127.34,127,127.19,221003,127.1865,1738188900000,1666,
127.23,127.25,127.06,127.1504,127025,127.1372,1738188960000,1054,
127.15,127.16,127,127.0588,111659,127.0359,1738189020000,1008,
127.06,127.22,127,127.0519,88068,127.09,1738189080000,765,
127.09,127.11,126.99,127,101219,127.0313,1738189140000,714,
127,127.17,127,127.04,86815,127.0908,1738189200000,819,
127.08,127.14,127,127.1,95130,127.0479,1738189260000,855,
127.0101,127.34,127,127.3,179088,127.1789,1738189320000,1203,
127.2994,127.2994,126.18,126.51,413801,126.6371,1738189380000,2642,
126.32,126.74,126.18,126.26,209070,126.257,1738189440000,1081,
126.27,126.7,126.2,126.5,105527,126.3805,1738189500000,776,
126.5,126.51,126.19,126.2394,113552,126.2425,1738189560000,731,
126.21,126.3095,126,126.1604,165444,126.0794,1738189620000,1131,
126.22,126.25,126,126.05,196334,126.0304,1738189680000,754,
126.02,126.3,126,126.27,109111,126.0481,1738189740000,799,
126.3,126.66,126.26,126.5,123317,126.4763,1738189800000,796,
126.52,126.7,126.5,126.59,62409,126.5769,1738189860000,488,
126.62,126.7,126.5,126.55,79289,126.5879,1738189920000,704,
126.5,126.69,126.5,126.55,48906,126.5918,1738189980000,436,
126.55,126.65,126.03,126.3,126636,126.3614,1738190040000,755,
126.3,126.3,125.7,125.8789,214536,125.9141,1738190100000,1668,
125.96,126,125.31,125.31,148132,125.6675,1738190160000,1341,
125.31,125.68,125.2,125.65,102045,125.3518,1738190220000,816,
125.69,125.82,125.55,125.6,54349,125.6666,1738190280000,521,
125.58,125.6,124.92,125.0117,174295,125.0966,1738190340000,1644,
125.07,125.5,125,125.4,74763,125.1865,1738190400000,693,
125.2904,125.5999,125.2897,125.56,44232,125.4375,1738190460000,400,
125.55,125.75,125.49,125.62,57221,125.6474,1738190520000,546,
125.68,125.7,125.26,125.35,64981,125.4597,1738190580000,581,
125.4,125.5,125.01,125.01,52850,125.1904,1738190640000,508,
125.01,125.68,124.99,125.5,206600,125.443,1738190700000,1154,
125.5,125.62,125.4,125.57,58617,125.565,1738190760000,386,
125.57,125.6307,125.3,125.63,58372,125.5254,1738190820000,509,
125.63,126.25,125.6217,126.24,126045,125.9396,1738190880000,1200,
126.05,126.25,125.85,125.85,50155,126.0782,1738190940000,572,
125.97,126.05,125.8202,125.95,34002,125.9812,1738191000000,347,
125.97,126.02,125.73,126.0098,75011,125.9295,1738191060000,592,
126,126.1,126,126.05,46433,126.0158,1738191120000,564,
126.0494,126.0896,125.85,125.97,67103,125.9885,1738191180000,554,
125.98,126,125.76,125.76,64074,125.9414,1738191240000,504,
125.9,125.9497,125.77,125.9,13468,125.8557,1738191300000,211,
125.82,125.9,125.75,125.75,26688,125.7944,1738191360000,365,
125.7512,125.9,125.6,125.8,57319,125.7291,1738191420000,509,
125.75,125.77,125.5,125.66,34483,125.6069,1738191480000,470,
125.61,125.69,125.07,125.07,73051,125.3392,1738191540000,801,
125.11,125.2,124.65,124.74,157284,124.9504,1738191600000,1849,
124.74,124.8948,124.24,124.4,143911,124.5579,1738191660000,1578,
124.47,124.5,122.95,123.3,309527,123.608,1738191720000,3319,
123.43,124,123,123.3,145027,123.451,1738191780000,1342,
123.26,123.48,122.24,122.24,294622,122.8543,1738191840000,2504,
122.4399,122.52,121.71,122.5,400896,122.116,1738191900000,3427,
122.5,123.3,122.4507,123,235928,123.0211,1738191960000,1608,
123,123.39,123,123.23,148622,123.2092,1738192020000,857,
123.22,123.45,122.99,123.1,151592,123.1523,1738192080000,938,
123.08,123.12,122.19,122.4051,198401,122.7549,1738192140000,1564,
122.51,122.7,122.2,122.32,163174,122.4079,1738192200000,1127,
122.4,122.43,122.13,122.23,161805,122.2391,1738192260000,1354,
122.2201,122.25,122,122.1885,180004,122.1352,1738192320000,1541,
122.15,122.19,122.03,122.1108,133385,122.1213,1738192380000,836,
122.15,122.5,122.01,122.37,168396,122.1802,1738192440000,1031,
122.41,123,122.3117,123,183620,122.6003,1738192500000,1009,
122.9989,123.2486,122.76,123.2391,133209,123.0418,1738192560000,1029,
123.1983,123.22,122.51,123.0299,120759,123.0387,1738192620000,994,
122.98,123.01,122.49,122.9015,81217,122.8717,1738192680000,623,
122.96,123,122.87,122.899,68615,122.9511,1738192740000,407,
122.9,122.9,122.7236,122.8,35100,122.8295,1738192800000,383,
122.85,122.8699,122.65,122.74,45671,122.7385,1738192860000,429,
122.7499,122.75,122.49,122.49,65075,122.6022,1738192920000,591,
122.49,122.6,122.36,122.51,69838,122.4835,1738192980000,599,
122.51,122.53,122.2,122.39,174950,122.3087,1738193040000,759,
122.4,122.68,122.29,122.51,60670,122.4616,1738193100000,398,
